artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Hins Cheung,The Brightest Darkness,俏郎君,4ckh5VN2HYQ8TzS51Nh7ol,0.611,0.411,11,-7.278,1,0.036,0.0,0.116,0.391,123.728,280822,4,HKG,ASIA,61.0
Edan 呂爵安,小諧星,小諧星,4Pzi0povbtMOuVyGKGNOKu,0.346,0.394,8,-8.913,1,0.0546,0.0,0.155,0.309,164.456,277011,4,HKG,ASIA,62.0
MC $oho & KidNey,係咁先啦 (feat. Kayan9896),係咁先啦 (feat. Kayan9896),4I2nZnEp1JZoHO4RB27VTR,0.673,0.716,9,-8.054,0,0.0529,3.39e-06,0.0938,0.706,100.072,209251,3,HKG,ASIA,62.0
Joyce Cheng,Joyce To The World,先哭為敬,7oVLiGq3yyLnGzlKvhgd3t,0.488,0.702,4,-5.688,1,0.0434,0.0,0.195,0.305,145.962,250000,4,HKG,ASIA,54.0
Jer 柳應廷,人類群星閃耀時,人類群星閃耀時,10nbKFoqDjsauhJQTHWfkg,0.362,0.785,8,-6.05,1,0.0465,0.0,0.111,0.27,76.485,346247,4,HKG,ASIA,61.0
Keung To,I Know (feat. AGA),I Know (feat. AGA),35bTq9CeIvJQTKrPuSoDv8,0.572,0.727,0,-5.888,1,0.215,0.0,0.189,0.379,161.136,219463,4,HKG,ASIA,62.0
MC 張天賦,聖誕很忙,聖誕很忙,3Tp3NMKc3zX2Yi1WfUecmF,0.508,0.38,11,-8.487,1,0.0264,0.0,0.13,0.221,133.932,237759,4,HKG,ASIA,60.0
6膠,膠 on! (膠戰S2 主題曲),膠 on! (膠戰S2 主題曲),3Hw5UuPArZWxOQUu6tYdf1,0.837,0.62,0,-5.896,1,0.0452,0.0,0.338,0.58,121.94,226380,4,HKG,ASIA,55.0
Edan 呂爵安,My Apple Pie,My Apple Pie,4N3vPjL04eJNzUdGfT4Dfz,0.347,0.553,0,-6.884,1,0.0448,0.0,0.154,0.188,139.267,207457,4,HKG,ASIA,60.0
MC 張天賦,Loser,Loser,5MGYY2USzSzFFrJe2Nul7Q,0.631,0.52,7,-7.212,0,0.303,0.0,0.116,0.438,79.914,253756,4,HKG,ASIA,60.0
Mirror,12,12,4pSSP0w8orZuCZJcxgugGT,0.649,0.683,0,-4.714,1,0.0301,0.0,0.17,0.682,97.975,201329,4,HKG,ASIA,60.0
Keung To,蒙著嘴說愛你,蒙著嘴說愛你,2w9A7fvq6ka5CB9l7wDZXG,0.654,0.622,1,-7.204,1,0.0347,0.0,0.0988,0.495,94.999,240775,4,HKG,ASIA,59.0
Dear Jane,人類不宜飛行,人類不宜飛行,2R6LC73jLhgOekUBfTcE23,0.445,0.783,7,-4.879,0,0.0317,0.0,0.144,0.347,135.981,237000,4,HKG,ASIA,60.0
Terence Lam,SEVEN,難道喜歡處女座,3Culhf5uvEDZQhaK3AhFqn,0.838,0.501,11,-7.229,1,0.0472,6.44e-06,0.11,0.693,129.969,189042,4,HKG,ASIA,57.0
Mike 曾比特,我不如,我不如,0uAW2j0sLBHVr3Gs9IGIqf,0.668,0.398,0,-6.971,1,0.0294,0.0,0.108,0.538,127.809,216000,4,HKG,ASIA,59.0
Mike 曾比特,我不是邱比特 (合唱版),我不是邱比特 - 合唱版,2TPOTSNzJKfVRN39ALLZbw,0.643,0.514,5,-7.442,1,0.0357,0.0,0.0905,0.483,129.927,242693,4,HKG,ASIA,59.0
Yoyo Sham,勿念,勿念,7jo1ash37IUB5NyviV7ajO,0.512,0.169,3,-16.756,1,0.0354,1.3e-06,0.109,0.287,135.854,206118,4,HKG,ASIA,59.0
葉巧琳,"Never Too Late, My Path, Mi Way",難道我還未夠難,6LOP8nbFXFydvDELLs1uss,0.614,0.461,8,-7.681,1,0.0398,0.0,0.0956,0.343,143.875,260398,4,HKG,ASIA,56.0
Anson Lo 盧瀚霆,Megahit,Megahit,33bb4ipPqbeTdZLOAix27Z,0.611,0.702,11,-3.554,0,0.0568,0.0,0.127,0.487,122.802,204994,4,HKG,ASIA,59.0
Anson Lo 盧瀚霆,不可愛教主,不可愛教主,7zYZYyaMmfsc7Jp4ZHd6UX,0.656,0.445,1,-11.652,0,0.0291,6.09e-06,0.14,0.389,92.018,229888,4,HKG,ASIA,59.0
Terence Lam,MAJOR IN MINOR,一人之境 in C major,32QnXosZq7A11knnBAEqk7,0.711,0.315,0,-11.211,1,0.034,0.0,0.121,0.232,122.052,195424,4,HKG,ASIA,58.0
Joyce Cheng,Joyce To The World,最難行的路,2VxhivipIOgAvnUw7KVha2,0.486,0.398,6,-8.873,1,0.0318,8.15e-06,0.139,0.44,77.786,221000,4,HKG,ASIA,48.0
Kaho Hung,主角光環,主角光環,4qSkBCWRJbFHRwUzZI5b8f,0.54,0.407,5,-8.741,1,0.0295,0.0,0.094,0.614,127.995,223627,4,HKG,ASIA,58.0
193,再次puppy love,再次puppy love,0PS2hRWTqrTnZIZDvpurgt,0.496,0.972,5,-4.127,0,0.0523,0.0,0.136,0.592,160.035,207000,4,HKG,ASIA,52.0
