id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
5fTzzOSblynJIhMZwAxNXw,Time to Pretend,Time to Pretend,6AccJKWLGTkv1KVFjZW4A8,['MGMT'],['0SwO7SWeDHJijQ3XNS7xEE'],1,1,False,0.504,0.8690000000000001,2,-5.78,1,0.0331,0.00575,0.445,0.32,0.499,96.922,272280,4.0,2005,2005-08-30,44
6ZgcoLxWOzQGLwBkUJsfkT,Livewire,Test Of Time,7d79ojHsRJzN0UUfdSSwfn,['Scooter Lee'],['0F4Nv2n9ATlNNH2eUWpkUI'],13,1,False,0.539,0.866,9,-3.2030000000000003,1,0.0533,0.0281,0.0,0.289,0.765,155.455,161027,4.0,2005,2005-01-01,0
4EAR4TrfRBvwnsunhZ9Xlj,I Am a Child,Cinnamon Girl: Women Artists Cover Neil Young for Charity,7vrflvOti0OSiIlDKI2OVD,['Britta Phillips'],['0IA38jACu3c1SNAJ7Aeu4t'],2,1,False,0.3829999999999999,0.5489999999999999,9,-12.384,1,0.0329,0.674,0.961,0.25,0.897,167.989,204453,4.0,2008,2008-02-12,12
5yAobYnzTL7SDV9J5HUzwW,Craters,Dorwytch,58J1yCwzVxT2TjVvDC3YJi,['Alexander Tucker'],['0FuaxuauyMnzN1OdqkFiJE'],14,1,False,0.215,0.156,1,-11.182,1,0.031,0.977,0.186,0.103,0.048,69.708,278475,3.0,2011,2011-04-12,0
1mzsFXZnkc0bLfPoYEOSIX,El Protagonista,Ya No Hace Falta,00ZrOIn5bIxbiicATeWcXL,['Bamboleo'],['0RLtwSikzOlGO14oOqYlW4'],4,1,False,0.516,0.8370000000000001,7,-4.57,1,0.0515,0.285,0.000127,0.0392,0.46,92.44,368120,4.0,1999,1999,12
5xW6Gs4ZKePJOZguvG6RV8,Raise a Hallelujah,Without Words: Genesis,0CLCgSt8wDFmoDpLLN09X2,['Bethel Music'],['26T4yOaOoFJvUvxR87Y9HO'],15,1,False,0.179,0.7190000000000001,1,-9.478,1,0.0373,0.00305,0.928,0.0572,0.147,82.072,250213,4.0,2019,2019-11-15,35
3P26qOPGHAye6wWXN9ZcA2,Nameless,Otherside,2LVNZoZ6PYs8hFL2dJb7XR,"[""Trevor's Head""]",['7I6yIQvsqXiJj4ZPADwm7N'],5,1,True,0.421,0.494,2,-7.439,1,0.0326,0.27,1.04e-05,0.105,0.644,79.153,265170,4.0,2014,2014-07-21,0
6pYWh3Baqdu8W99YDc6XlG,Feed Me Well,Slowburn,75RwRnfgNJ3oRMDowP99aQ,['Jeremiah Freed'],['1eu8Bi87yGRitUE7QFbyJY'],13,1,False,0.647,0.3939999999999999,6,-12.032,1,0.0347,0.462,0.0,0.262,0.5329999999999999,59.072,223827,4.0,2003,2003-01-01,0
0SZiXd7pfZnLcM0fGAnpph,The World Is Changed - Live Edit,Uplifting Minds,3AomwhhYwOwu26j5EYLcUH,['Pulsar & Thaihanu'],['5onKzuCFtnH2Ak6K2tWr5u'],9,1,False,0.5870000000000001,0.992,8,-7.653,1,0.054,0.00148,0.898,0.204,0.0386,145.01,463285,4.0,2013,2013,0
4Daxml2P1qQRSbM22N2TeF,"La siembro, cosecho y vendo",Vamos Pa' Los Toros,09zNtJ7OrP7eZNieO2qk8F,['La Super Banda De Chilacachapa'],['60WAscKOtR4uzuKWqjnHn4'],3,1,False,0.52,0.631,10,-4.824,1,0.0574,0.628,3.49e-06,0.128,0.949,140.154,238507,4.0,2011,2011-01-01,12
714IA2ubzGTFOk1G02rWzg,Soulmates,Soulmates,0WQ4VuN91FCGMcyidS5U6p,['Yoon Sun Choi and Jacob Sacks'],['6z334bmMLt3XdgTEUq4v5r'],5,1,False,0.304,0.0325,9,-16.660999999999998,0,0.0392,0.985,0.242,0.123,0.0663,112.064,276267,4.0,2002,2002-01-01,0
2IDFLb4XYzGeKjarKrYo4X,The Mystery (Live),Live! at the Ryman (Live),1OhODD5tkohdFl64HAlodB,['Tommy Emmanuel'],['6HjfVflhYjbu6PSIsFOjwM'],2,1,False,0.304,0.62,8,-12.412,0,0.0346,0.659,0.0185,0.368,0.532,92.322,268864,4.0,2017,2017-05-19,16
1qjQYzKztkeRKE2bP2OIZT,Alone (I Saw My Ex In Ann Arbor and she looked great mix),Forgive Me My Syns,1k3nCHcRLZaF6IHB547rNl,['Cosmicity'],['5SHhwLU1p9w64fd1VAOWr4'],9,1,False,0.503,0.774,4,-7.866,0,0.0827,0.187,0.259,0.0942,0.4539999999999999,134.88299999999998,253853,4.0,1998,1998,0
14klkgq0tQ5WdvKIrx91Bi,Drive,E2,3x6CYgqfY4EjgxXTOxieaN,"['Ethereal', 'Big Baby Scumbag']","['7e7nmtA3OQEUdVjn5rG3Tz', '3WjxW7xt0RCSotYoQBzEXB']",15,1,True,0.8009999999999999,0.92,11,-6.311,0,0.0735,0.0028899999999999,4.67e-06,0.302,0.7440000000000001,112.464,238953,4.0,2020,2020-06-19,1
